X,Y,fid,OBJECTID,Entity,Layer,Color,Linetype,Elevation,LineWt,RefName,Angle,NO,F_POINT,ELEV,ELE,ELPBG,DOM,CH1,DIA,A,B,PT,STAMAN,STAPRE,POINT,DESC,PLU,POINT_HEXAG,ECHELLE,VUEPL,EL_,F0_000,CURVENO,RADIUS,LENGTH,DELTA,TANGENT,CHORD,BEARING,X,IDENTIFICATION,S_,TXT1,SS,VALEURX,VALEUR_Y,TEXTE,A1,NIVEAU,Item_Short_Name,Item_Description,Manufacturer,Part_Number,Quantity_Imperial,Unit_Imperial,Quantity_Metric,Unit_Metric,ID_CSI_Masterformat,ID_CSI_Uniformat,ID_CI_SfB,ID_UniClass,ID_User_Defined,NAME,PLUVIAL,SANITIRE,EAU_POTABLE,COD,DSC,INF,F1,F2,icon_url
-71.7369770743343,46.6791639908056,1,1,Insert,EGPLUV-REGARD,4,Continuous,0,25,RP,315.718802028925,,,,,0,0,,,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,0,,0,,0,,,,0,0,0,,0,0,,,./0.png
-71.7368999467576,46.6790980170197,2,2,Insert,EGPLUV-REGARD,4,Continuous,0,25,RP,324.431149612337,,,,,0,0,,,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,0,,0,,0,,,,0,0,0,,0,0,,,./0.png
-71.7361338275939,46.6797114497272,3,3,Insert,EGPLUV-REGARD,4,Continuous,0,25,RP,320.084720656449,,,,,0,0,,,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,0,,0,,0,,,,0,0,0,,0,0,,,./0.png
-71.7358221967698,46.6799121710019,4,4,Insert,EGPLUV-REGARD,4,Continuous,0,25,RP,321.594436975512,,,,,0,0,,,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,0,,0,,0,,,,0,0,0,,0,0,,,./0.png
-71.7352958916271,46.6802322220312,5,5,Insert,EGPLUV-REGARD,4,Continuous,0,25,RP,0,,,,,0,0,,,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,0,,0,,0,,,,0,0,0,,0,0,,,./0.png
-71.7346638720212,46.6806472765281,6,6,Insert,EGPLUV-REGARD,4,Continuous,0,25,RP,0,,,,,0,0,,,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,0,,0,,0,,,,0,0,0,,0,0,,,./0.png
-71.7339459326611,46.68094870386,7,7,Insert,EGPLUV-REGARD,4,Continuous,0,25,RP,0,,,,,0,0,,,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,0,,0,,0,,,,0,0,0,,0,0,,,./0.png
-71.7334177317887,46.6811245254826,8,8,Insert,EGPLUV-REGARD,4,Continuous,0,25,RP,0,,,,,0,0,,,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,0,,0,,0,,,,0,0,0,,0,0,,,./0.png
-71.732672366252,46.6812709864705,9,9,Insert,EGPLUV-REGARD,4,Continuous,0,25,RP,0,,,,,0,0,,,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,0,,0,,0,,,,0,0,0,,0,0,,,./0.png
-71.7323821806251,46.6813194179115,10,10,Insert,EGPLUV-REGARD,4,Continuous,0,25,RP,0,,,,,0,0,,,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,0,,0,,0,,,,0,0,0,,0,0,,,./0.png
-71.731143120969,46.681417901659,11,11,Insert,EGPLUV-REGARD,4,Continuous,0,25,RP,0,,,,,0,0,,,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,0,,0,,0,,,,0,0,0,,0,0,,,./0.png
-71.7301207232195,46.6813674391732,12,12,Insert,EGPLUV-REGARD,4,Continuous,0,25,RP,0,,,,,0,0,,,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,0,,0,,0,,,,0,0,0,,0,0,,,./0.png
-71.7376491441271,46.6796440060214,13,13,Insert,EGPLUV-REGARD,4,Continuous,0,25,RP,0,,,,,0,0,,,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,0,,0,,0,,,,0,0,0,,0,0,,,./0.png
-71.7363597183828,46.6804807861215,14,15,Insert,EGPLUV-REGARD,4,Continuous,0,25,RP,144.390762345632,,,,,0,0,,,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,0,,0,,0,,,,0,0,0,,0,0,,,./0.png
-71.735962033204,46.6807590137657,15,16,Insert,EGPLUV-REGARD,4,Continuous,0,25,RP,129.509733885682,,,,,0,0,,,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,0,,0,,0,,,,0,0,0,,0,0,,,./0.png
-71.7358197882909,46.680037799746,16,17,Insert,EGPLUV-REGARD,4,Continuous,0,25,RP,43.1222352777043,,,,,0,0,,,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,0,,0,,0,,,,0,0,0,,0,0,,,./0.png
-71.7364450538523,46.6811350277308,17,18,Insert,EGPLUV-REGARD,4,Continuous,0,25,RP,31.8584836538174,,,,,0,0,,,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,0,,0,,0,,,,0,0,0,,0,0,,,./0.png
-71.7360214739635,46.6819417981331,18,19,Insert,EGPLUV-REGARD,4,Continuous,0,25,RP,0,,,,,0,0,,,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,0,,0,,0,,,,0,0,0,,0,0,,,./0.png
-71.7360372889532,46.6821993678499,19,20,Insert,EGPLUV-REGARD,4,Continuous,0,25,RP,0,,,,,0,0,,,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,0,,0,,0,,,,0,0,0,,0,0,,,./0.png
-71.7357385878746,46.6823272793145,20,21,Insert,EGPLUV-REGARD,4,Continuous,0,25,RP,0,,,,,0,0,,,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,0,,0,,0,,,,0,0,0,,0,0,,,./0.png
-71.7341104928405,46.682215862572,21,22,Insert,EGPLUV-REGARD,4,Continuous,0,25,RP,0,,,,,0,0,,,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,0,,0,,0,,,,0,0,0,,0,0,,,./0.png
-71.7338111403752,46.6821214716106,22,23,Insert,EGPLUV-REGARD,4,Continuous,0,25,RP,0,,,,,0,0,,,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,0,,0,,0,,,,0,0,0,,0,0,,,./0.png
-71.7343108621951,46.6814144611063,23,24,Insert,EGPLUV-REGARD,4,Continuous,0,25,RP,0,,,,,0,0,,,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,0,,0,,0,,,,0,0,0,,0,0,,,./0.png
-71.7345368161097,46.6816348567813,24,25,Insert,EGPLUV-REGARD,4,Continuous,0,25,RP,0,,,,,0,0,,,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,0,,0,,0,,,,0,0,0,,0,0,,,./0.png
-71.7348345651797,46.6817098303186,25,26,Insert,EGPLUV-REGARD,4,Continuous,0,25,RP,0,,,,,0,0,,,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,0,,0,,0,,,,0,0,0,,0,0,,,./0.png
-71.7362883619894,46.6786552639246,26,27,Insert,EGPLUV-REGARD,4,Continuous,0,25,RP,219.216047403331,,,,,0,0,,,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,0,,0,,0,,,,0,0,0,,0,0,,,./0.png
-71.7359824388623,46.6784315520975,27,28,Insert,EGPLUV-REGARD,4,Continuous,0,25,RP,0,,,,,0,0,,,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,0,,0,,0,,,,0,0,0,,0,0,,,./0.png
-71.7356815244477,46.6790511087195,28,29,Insert,EGPLUV-REGARD,4,Continuous,0,25,RP,334.865128003266,,,,,0,0,,,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,0,,0,,0,,,,0,0,0,,0,0,,,./0.png
-71.7350047288568,46.6794127739116,29,30,Insert,EGPLUV-REGARD,4,Continuous,0,25,RP,222.732162615334,,,,,0,0,,,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,0,,0,,0,,,,0,0,0,,0,0,,,./0.png
-71.7350846578422,46.6793946779827,30,31,Insert,EGPLUV-REGARD,4,Continuous,0,25,RP,40.8516185878197,,,,,0,0,,,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,0,,0,,0,,,,0,0,0,,0,0,,,./0.png
-71.7298208946162,46.6802748734749,31,32,Insert,EGPLUV-REGARD,4,Continuous,0,25,RP,151.824854475673,,,,,0,0,,,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,0,,0,,0,,,,0,0,0,,0,0,,,./0.png
-71.7307868575755,46.6797544888981,32,33,Insert,EGPLUV-REGARD,4,Continuous,0,25,RP,133.156071511672,,,,,0,0,,,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,0,,0,,0,,,,0,0,0,,0,0,,,./0.png
-71.7306325135693,46.67979213402,33,34,Insert,EGPLUV-REGARD,4,Continuous,0,25,RP,311.803822662884,,,,,0,0,,,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,0,,0,,0,,,,0,0,0,,0,0,,,./0.png
-71.7304630799429,46.6797870891014,34,35,Insert,EGPLUV-REGARD,4,Continuous,0,25,RP,318.657371572443,,,,,0,0,,,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,0,,0,,0,,,,0,0,0,,0,0,,,./0.png
-71.7301200714259,46.6801930263362,35,36,Insert,EGPLUV-REGARD,4,Continuous,0,25,RP,315.335898353809,,,,,0,0,,,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,0,,0,,0,,,,0,0,0,,0,0,,,./0.png
-71.7302981391872,46.6799161568834,36,37,Insert,EGPLUV-REGARD,4,Continuous,0,25,RP,136.426291380874,,,,,0,0,,,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,0,,0,,0,,,,0,0,0,,0,0,,,./0.png
-71.7318698232752,46.6790659299189,37,38,Insert,EGPLUV-REGARD,4,Continuous,0,25,RP,0,,,,,0,0,,,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,0,,0,,0,,,,0,0,0,,0,0,,,./0.png
-71.7318225447144,46.6790153287603,38,39,Insert,EGPLUV-REGARD,4,Continuous,0,25,RP,311.201440444327,,,,,0,0,,,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,0,,0,,0,,,,0,0,0,,0,0,,,./0.png
-71.7328586392635,46.6783221466933,39,40,Insert,EGPLUV-REGARD,4,Continuous,0,25,RP,138.381670571576,,,,,0,0,,,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,0,,0,,0,,,,0,0,0,,0,0,,,./0.png
-71.7332215084289,46.6780993269224,40,41,Insert,EGPLUV-REGARD,4,Continuous,0,25,RP,313.936964054986,,,,,0,0,,,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,0,,0,,0,,,,0,0,0,,0,0,,,./0.png
-71.7324508509081,46.6786735177133,41,42,Insert,EGPLUV-REGARD,4,Continuous,0,25,RP,0,,,,,0,0,,,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,0,,0,,0,,,,0,0,0,,0,0,,,./0.png
-71.7336106367362,46.6779434335311,42,43,Insert,EGPLUV-REGARD,4,Continuous,0,25,RP,322.895590870097,,,,,0,0,,,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,0,,0,,0,,,,0,0,0,,0,0,,,./0.png
-71.7337360172547,46.6789789543813,43,44,Insert,EGPLUV-REGARD,4,Continuous,0,25,RP,0,,,,,0,0,,,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,0,,0,,0,,,,0,0,0,,0,0,,,./0.png
-71.7345953168711,46.6796791722463,44,45,Insert,EGPLUV-REGARD,4,Continuous,0,25,RP,0,,,,,0,0,,,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,0,,0,,0,,,,0,0,0,,0,0,,,./0.png
-71.7324499898022,46.6794730456052,45,46,Insert,EGPLUV-REGARD,4,Continuous,0,25,RP,0,,,,,0,0,,,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,0,,0,,0,,,,0,0,0,,0,0,,,./0.png
-71.7320298714832,46.6797995633496,46,47,Insert,EGPLUV-REGARD,4,Continuous,0,25,RP,0,,,,,0,0,,,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,0,,0,,0,,,,0,0,0,,0,0,,,./0.png
-71.7325331934968,46.680234037227,47,48,Insert,EGPLUV-REGARD,4,Continuous,0,25,RP,0,,,,,0,0,,,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,0,,0,,0,,,,0,0,0,,0,0,,,./0.png
-71.7328307293283,46.6804815701922,48,49,Insert,EGPLUV-REGARD,4,Continuous,0,25,RP,332.927646237469,,,,,0,0,,,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,0,,0,,0,,,,0,0,0,,0,0,,,./0.png
-71.7332016627576,46.6805323194449,49,50,Insert,EGPLUV-REGARD,4,Continuous,0,25,RP,0,,,,,0,0,,,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,0,,0,,0,,,,0,0,0,,0,0,,,./0.png
-71.733763259953,46.6803055053447,50,51,Insert,EGPLUV-REGARD,4,Continuous,0,25,RP,0,,,,,0,0,,,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,0,,0,,0,,,,0,0,0,,0,0,,,./0.png
-71.7339039232249,46.6800764875047,51,52,Insert,EGPLUV-REGARD,4,Continuous,0,25,RP,0,,,,,0,0,,,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,0,,0,,0,,,,0,0,0,,0,0,,,./0.png
-71.7334050394422,46.6796647909854,52,53,Insert,EGPLUV-REGARD,4,Continuous,0,25,RP,0,,,,,0,0,,,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,0,,0,,0,,,,0,0,0,,0,0,,,./0.png
-71.732826260895,46.6792547394671,53,54,Insert,EGPLUV-REGARD,4,Continuous,0,25,RP,0,,,,,0,0,,,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,0,,0,,0,,,,0,0,0,,0,0,,,./0.png
-71.7314895094955,46.6803089790673,54,55,Insert,EGPLUV-REGARD,4,Continuous,0,25,RP,26.3740737264691,,,,,0,0,,,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,0,,0,,0,,,,0,0,0,,0,0,,,./0.png
-71.7321670246004,46.6808519985167,55,56,Insert,EGPLUV-REGARD,4,Continuous,0,25,RP,0,,,,,0,0,,,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,0,,0,,0,,,,0,0,0,,0,0,,,./0.png
-71.7446283868518,46.6748908318306,56,57,Insert,EGPLUV-REGARD,4,Continuous,0,25,RP,256.604863742805,,,,,0,0,,,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,0,,0,,0,,,,0,0,0,,0,0,,,./0.png
-71.7446755005734,46.6754081769638,57,58,Insert,EGPLUV-REGARD,4,Continuous,0,25,RP,0,,,,,0,0,,,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,0,,0,,0,,,,0,0,0,,0,0,,,./0.png
-71.7448867439642,46.6758356031061,58,59,Insert,EGPLUV-REGARD,4,Continuous,0,25,RP,0,,,,,0,0,,,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,0,,0,,0,,,,0,0,0,,0,0,,,./0.png
-71.7338301343349,46.6733981800106,59,60,Insert,EGPLUV-REGARD,4,Continuous,0,25,RP,0,,,,,0,0,,,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,0,,0,,0,,,,0,0,0,,0,0,,,./0.png
-71.7329235796248,46.6736507481411,60,61,Insert,EGPLUV-REGARD,4,Continuous,0,25,RP,0,,,,,0,0,,,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,0,,0,,0,,,,0,0,0,,0,0,,,./0.png
-71.7298686826718,46.6741512450019,61,62,Insert,EGPLUV-REGARD,4,Continuous,0,25,RP,0,,,,,0,0,,,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,0,,0,,0,,,,0,0,0,,0,0,,,./0.png
-71.7437463791009,46.6740134856261,62,63,Insert,EGPLUV-REGARD,4,Continuous,0,25,RP,179.867514499496,,,,,0,0,,,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,0,,0,,0,,,,0,0,0,,0,0,,,./0.png
-71.7333727018592,46.6781306466598,63,64,Insert,EGPLUV-REGARD,4,Continuous,0,25,RP,21.993256907602,,,,,0,0,,,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,0,,0,,0,,,,0,0,0,,0,0,,,./0.png
-71.7335112581421,46.6826056278117,64,65,Insert,EGPLUV-REGARD,4,Continuous,0,25,RP,14.289648381343,,,,,0,0,,,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,0,,0,,0,,,,0,0,0,,0,0,,,./0.png
-71.737838474591,46.6701894583902,65,66,Insert,EGPLUV-REGARD,4,Continuous,0,25,RP,12.9859460954479,,,,,0,0,,,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,0,,0,,0,,,,0,0,0,,0,0,,,./0.png
-71.7376021217383,46.6703815903621,66,67,Insert,EGPLUV-REGARD,4,Continuous,0,25,RP,10.915446633646,,,,,0,0,,,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,0,,0,,0,,,,0,0,0,,0,0,,,./0.png
-71.7375892963831,46.6703705117321,67,68,Insert,EGPLUV-REGARD,4,Continuous,0,25,RP,7.96407965610497,,,,,0,0,,,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,0,,0,,0,,,,0,0,0,,0,0,,,./0.png
-71.7376574873326,46.6703246847982,68,69,Insert,EGPLUV-REGARD,4,Continuous,0,25,RP,4.53467336165928,,,,,0,0,,,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,0,,0,,0,,,,0,0,0,,0,0,,,./0.png
-71.7377419884673,46.6702596581473,69,70,Insert,EGPLUV-REGARD,4,Continuous,0,25,RP,20.645865633847,,,,,0,0,,,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,0,,0,,0,,,,0,0,0,,0,0,,,./0.png
-71.7318743208365,46.6830325110408,70,71,Insert,EGPLUV-REGARD,4,Continuous,0,25,RP,15.8469988302314,,,,,0,0,,,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,0,,0,,0,,,,0,0,0,,0,0,,,./0.png
-71.7333797876351,46.6831661884036,71,72,Insert,EGPLUV-REGARD,4,Continuous,0,25,RP,358.859093487628,,,,,0,0,,,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,0,,0,,0,,,,0,0,0,,0,0,,,./0.png
-71.7313868375564,46.6829313250743,72,73,Insert,EGPLUV-REGARD,4,Continuous,0,25,RP,6.51846568617948,,,,,0,0,,,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,0,,0,,0,,,,0,0,0,,0,0,,,./0.png
-71.7409974915147,46.6831452504173,73,74,Insert,EGPLUV-REGARD,4,Continuous,0,25,RP,33.0836289781614,,,,,0,0,,,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,0,,0,,0,,,,0,0,0,,0,0,,,./0.png
-71.7386460738834,46.682967479936,74,75,Insert,EGPLUV-REGARD,4,Continuous,0,25,RP,19.2685396280425,,,,,0,0,,,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,0,,0,,0,,,,0,0,0,,0,0,,,./0.png
-71.7416448544126,46.6832574916529,75,76,Insert,EGPLUV-REGARD,4,Continuous,0,25,RP,21.673488144292,,,,,0,0,,,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,0,,0,,0,,,,0,0,0,,0,0,,,./0.png
-71.7311505589758,46.6839118022807,76,77,Insert,EGPLUV-REGARD,4,Continuous,0,25,RP,16.8942438675336,,,,,0,0,,,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,0,,0,,0,,,,0,0,0,,0,0,,,./0.png
-71.7323867301389,46.684828657784,77,79,Insert,EGPLUV-REGARD,4,Continuous,0,25,RP,49.1653396560927,,,,,0,0,,,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,0,,0,,0,,,,0,0,0,,0,0,,,./0.png
-71.7312583006949,46.6754382880904,78,80,Insert,EGPLUV-REGARD,4,Continuous,0,25,RP,17.0493341654756,,,,,0,0,,,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,0,,0,,0,,,,0,0,0,,0,0,,,./0.png
-71.730909955147,46.6756463843524,79,81,Insert,EGPLUV-REGARD,4,Continuous,0,25,RP,27.9432656157997,,,,,0,0,,,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,0,,0,,0,,,,0,0,0,,0,0,,,./0.png
-71.7304973198411,46.6759052897376,80,82,Insert,EGPLUV-REGARD,4,Continuous,0,25,RP,36.742275259588,,,,,0,0,,,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,0,,0,,0,,,,0,0,0,,0,0,,,./0.png
-71.7299121675327,46.6762511047258,81,83,Insert,EGPLUV-REGARD,4,Continuous,0,25,RP,31.850406592302,,,,,0,0,,,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,0,,0,,0,,,,0,0,0,,0,0,,,./0.png
-71.7296428248711,46.6739426992015,82,85,Insert,EGPLUV-REGARD,4,Continuous,0,25,RP,27.7992772136755,,,,,0,0,,,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,0,,0,,0,,,,0,0,0,,0,0,,,./0.png
